race_id,date,round
20220508,2022-05-08,5
20220522,2022-05-22,6
20220529,2022-05-29,7
20220612,2022-06-12,8
20220619,2022-06-19,9
20220703,2022-07-03,10
20220710,2022-07-10,11
20220724,2022-07-24,12
20220731,2022-07-31,13
20220828,2022-08-28,14
20220904,2022-09-04,15
20220911,2022-09-11,16
20221002,2022-10-02,17
20221009,2022-10-09,18
20221023,2022-10-23,19
20221030,2022-10-30,20
20221113,2022-11-13,21
20221120,2022-11-20,22
